provincia,canton,parroquia,poblacion,superficie_de_la_parroquia_km2_,densidad_poblacional
ESMERALDAS,ELOY ALFARO,MALDONADO,2100.0,58.21,36.0
ESMERALDAS,ELOY ALFARO,PAMPANAL DE BOLIVAR,1363.0,113.84,12.0
ESMERALDAS,ELOY ALFARO,SAN FRANCISCO DE ONZOLE,1838.0,181.21,10.0
ESMERALDAS,ELOY ALFARO,SANTO DOMINGO DE ONZOLE,3577.0,681.46,5.0
ESMERALDAS,ELOY ALFARO,SELVA ALEGRE,1466.0,49.58,30.0
ESMERALDAS,ELOY ALFARO,TELEMBI,6316.0,1426.56,4.0
ESMERALDAS,ELOY ALFARO,COLON ELOY DEL MARIA,2200.0,71.9,31.0
ESMERALDAS,ELOY ALFARO,SAN JOSE DE CAYAPAS,1433.0,120.0,12.0
ESMERALDAS,ELOY ALFARO,TIMBIRE,1153.0,21.95,53.0
ESMERALDAS,ELOY ALFARO,SANTA LUCIA DE LAS PENAS,1985.0,82.05,24.0
ESMERALDAS,MUISNE,MUISNE,8788.0,142.04,62.0
ESMERALDAS,MUISNE,BOLIVAR,2569.0,50.02,51.0
ESMERALDAS,MUISNE,DAULE,2842.0,110.31,26.0
ESMERALDAS,MUISNE,GALERA,1659.0,67.7,25.0
ESMERALDAS,MUISNE,QUINGUE,533.0,28.21,19.0
ESMERALDAS,MUISNE,SALIMA,1439.0,53.56,27.0
ESMERALDAS,MUISNE,SAN FRANCISCO,5023.0,191.1,26.0
ESMERALDAS,MUISNE,SAN GREGORIO,7864.0,470.19,17.0
ESMERALDAS,MUISNE,SAN JOSE DE CHAMANGA,5709.0,153.34,37.0
ESMERALDAS,QUININDE,ROSA ZARATE,55722.0,1021.95,55.0
ESMERALDAS,QUININDE,CUBE,7872.0,656.21,12.0
ESMERALDAS,QUININDE,CHURA,3241.0,183.52,18.0
ESMERALDAS,QUININDE,MALIMPIA,19870.0,1005.29,20.0
ESMERALDAS,QUININDE,VICHE,5975.0,96.55,62.0
