no_,genero_de_la_victima,estado_civil_de_la_victima,condicion,fecha_de_muerte_victima,tipo_de_accidente,fecha_siniestro,canton,provincia,fecha_de_creacion_de_proteccion_de_fallecidos,anio,mes_num
3293,FEMENINO,SOLTERO/A,PEATON,2019-11-29,ATROPELLO,2019-11-29,CHONE,MANABI,2020-10-23,2019,11
3296,MASCULINO,CASADO/A,PEATON,2019-12-09,ATROPELLO,2019-12-07,MACHACHI,PICHINCHA,2020-10-23,2019,12
3304,MASCULINO,SOLTERO/A,OCUPANTE,2019-07-02,CHOQUE,2019-07-02,BALZAR,GUAYAS,2020-10-22,2019,7
3306,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-16,VOLCAMIENTO,2019-12-16,VINCES,LOS RIOS,2020-10-22,2019,12
3315,MASCULINO,SOLTERO/A,OCUPANTE,2020-03-17,CHOQUE,2019-06-16,EL TRIUNFO,GUAYAS,2020-10-21,2019,6
3325,FEMENINO,SOLTERO/A,OCUPANTE,2019-12-23,CHOQUE,2019-12-24,MACHALA,EL ORO,2020-10-20,2019,12
3340,FEMENINO,SOLTERO/A,PEATON,2019-10-19,ATROPELLO,2019-10-19,BABAHOYO,LOS RIOS,2020-10-19,2019,10
3346,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-29,VOLCAMIENTO,2019-12-29,PUERTO QUITO,PICHINCHA,2020-10-19,2019,12
3369,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-30,VOLCAMIENTO,2019-11-30,SANTA ELENA,SANTA ELENA,2020-10-15,2019,11
3382,FEMENINO,SOLTERO/A,OCUPANTE,2019-12-29,VOLCAMIENTO,2019-12-29,MACHACHI,PICHINCHA,2020-10-14,2019,12
3405,FEMENINO,SOLTERO/A,OCUPANTE,2019-10-24,VOLCAMIENTO,2019-10-24,DURAN,GUAYAS,2020-10-13,2019,10
3408,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-28,CHOQUE,2019-11-28,LAS NAVES,BOLIVAR,2020-10-12,2019,11
3410,FEMENINO,VIUDO/A,OCUPANTE,2019-11-18,CHOQUE,2019-11-18,PATATE,TUNGURAHUA,2020-10-12,2019,11
3413,MASCULINO,VIUDO/A,OCUPANTE,2019-11-18,VOLCAMIENTO,2019-11-18,PATATE,TUNGURAHUA,2020-10-12,2019,11
3423,MASCULINO,CASADO/A,OCUPANTE,2019-12-29,CHOQUE,2019-12-29,MACHACHI,PICHINCHA,2020-10-08,2019,12
3434,MASCULINO,CASADO/A,PEATON,2019-12-23,ATROPELLO,2019-12-23,TENA,NAPO,2020-10-08,2019,12
3444,MASCULINO,SOLTERO/A,PEATON,2019-12-23,ATROPELLO,2019-12-23,QUITO,PICHINCHA,2020-10-07,2019,12
3462,MASCULINO,SOLTERO/A,PEATON,2019-12-29,ATROPELLO,2019-12-20,NARANJITO,GUAYAS,2020-10-02,2019,12
3464,MASCULINO,SOLTERO/A,PEATON,2019-12-06,ATROPELLO,2019-12-05,SUCUA,MORONA SANTIAGO,2020-10-02,2019,12
3465,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-08,CHOQUE,2019-11-08,QUINSALOMA,LOS RIOS,2020-10-02,2019,11
3475,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-28,CHOQUE,2019-11-27,MACHALA,EL ORO,2020-10-01,2019,11
3480,FEMENINO,SOLTERO/A,PEATON,2019-10-12,ATROPELLO,2019-10-10,SANGOLQUI,PICHINCHA,2020-09-30,2019,10
3488,MASCULINO,SOLTERO/A,OCUPANTE,2020-01-04,CHOQUE,2019-12-24,BABA,LOS RIOS,2020-09-30,2019,12
3490,MASCULINO,CASADO/A,PEATON,2020-01-09,DESCONOCIDO,2019-12-31,IBARRA,IMBABURA,2020-09-30,2019,12
3492,MASCULINO,SOLTERO/A,PEATON,2019-11-03,DESCONOCIDO,2019-11-02,BABA,LOS RIOS,2020-09-29,2019,11
3494,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-16,CHOQUE,2019-12-15,NOBOL,GUAYAS,2020-09-29,2019,12
3510,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-28,DESCONOCIDO,2019-12-28,RIOBAMBA,CHIMBORAZO,2020-09-29,2019,12
3511,MASCULINO,SOLTERO/A,OCUPANTE,2019-03-20,DESCONOCIDO,2019-03-20,QUEVEDO,LOS RIOS,2020-09-29,2019,3
3512,MASCULINO,SOLTERO/A,OCUPANTE,2019-09-10,CHOQUE,2019-09-07,MACHALA,EL ORO,2020-09-29,2019,9
3521,MASCULINO,SOLTERO/A,OCUPANTE,2019-09-29,CAIDA,2019-09-27,DAULE,GUAYAS,2020-09-28,2019,9
3537,FEMENINO,CASADO/A,OCUPANTE,2020-01-07,VOLCAMIENTO,2019-12-29,COLTA,CHIMBORAZO,2020-09-25,2019,12
3560,MASCULINO,CASADO/A,PEATON,2019-12-24,ATROPELLO,2019-12-22,QUITO,PICHINCHA,2020-09-23,2019,12
3565,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-21,CHOQUE,2019-12-21,QUITO,PICHINCHA,2020-09-23,2019,12
3583,FEMENINO,SOLTERO/A,OCUPANTE,2019-10-03,CHOQUE,2019-10-03,QUITO,PICHINCHA,2020-09-21,2019,10
3604,FEMENINO,SOLTERO/A,OCUPANTE,2020-03-26,CHOQUE,2019-09-22,RIOBAMBA,CHIMBORAZO,2020-09-17,2019,9
3614,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-29,CHOQUE,2019-10-27,CHONE,MANABI,2020-09-16,2019,10
3637,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-01,VOLCAMIENTO,2019-12-01,CHONE,MANABI,2020-09-14,2019,12
3662,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-03,CHOQUE,2019-11-03,SANTA ELENA,SANTA ELENA,2020-09-10,2019,11
3670,FEMENINO,SOLTERO/A,OCUPANTE,2019-10-20,CHOQUE,2019-10-20,CUENCA,AZUAY,2020-09-10,2019,10
3678,MASCULINO,SOLTERO/A,PEATON,2019-10-17,ATROPELLO,2019-10-17,GUAYAQUIL,GUAYAS,2020-09-09,2019,10
3691,FEMENINO,SOLTERO/A,OCUPANTE,2019-11-21,CHOQUE,2019-11-21,MILAGRO,GUAYAS,2020-09-08,2019,11
3704,MASCULINO,CASADO/A,OCUPANTE,2019-12-10,CAIDA,2019-06-25,MANTA,MANABI,2020-09-04,2019,6
3709,MASCULINO,CASADO/A,PEATON,2019-09-28,ATROPELLO,2019-09-27,LATACUNGA,COTOPAXI,2020-09-04,2019,9
3712,MASCULINO,CASADO/A,PEATON,2019-12-20,ATROPELLO,2019-07-04,SUCUA,MORONA SANTIAGO,2020-09-04,2019,7
3714,FEMENINO,SOLTERO/A,OCUPANTE,2019-06-11,CHOQUE,2019-06-07,NARANJAL,GUAYAS,2020-09-04,2019,6
3733,MASCULINO,CASADO/A,PEATON,2019-09-28,ATROPELLO,2019-09-28,EL TRIUNFO,GUAYAS,2020-09-03,2019,9
3737,MASCULINO,SOLTERO/A,OCUPANTE,2019-04-17,VOLCAMIENTO,2019-04-17,MACHACHI,PICHINCHA,2020-09-03,2019,4
3740,FEMENINO,SOLTERO/A,OCUPANTE,2019-04-18,CHOQUE,2019-04-17,PUERTO QUITO,PICHINCHA,2020-09-03,2019,4
3741,FEMENINO,VIUDO/A,OCUPANTE,2019-04-17,CHOQUE,2019-04-17,PUERTO QUITO,PICHINCHA,2020-09-03,2019,4
3751,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-09,CHOQUE,2019-11-09,PEDERNALES,MANABI,2020-09-02,2019,11
3753,MASCULINO,SOLTERO/A,PEATON,2019-09-06,ATROPELLO,2019-08-29,QUITO,PICHINCHA,2020-09-01,2019,8
3755,MASCULINO,SOLTERO/A,OCUPANTE,2020-02-26,CHOQUE,2019-10-01,NARANJAL,GUAYAS,2020-08-31,2019,10
3764,FEMENINO,CASADO/A,PEATON,2019-04-27,ATROPELLO,2019-04-27,GUAYAQUIL,GUAYAS,2020-08-28,2019,4
3788,MASCULINO,SOLTERO/A,PEATON,2019-12-10,ATROPELLO,2019-12-10,SUCUA,MORONA SANTIAGO,2020-08-26,2019,12
3792,MASCULINO,SOLTERO/A,PEATON,2019-12-28,ATROPELLO,2019-12-28,ESMERALDAS,ESMERALDAS,2020-08-26,2019,12
3797,MASCULINO,SOLTERO/A,OCUPANTE,2019-10-06,CHOQUE,2019-10-06,PORTOVIEJO,MANABI,2020-08-26,2019,10
3815,MASCULINO,SOLTERO/A,PEATON,2019-11-01,ATROPELLO,2019-11-01,MANTA,MANABI,2020-08-24,2019,11
